2025-02-03 14:10:32.297752, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 14:11:53.592109, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 14:46:12.121008, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 14:50:38.200943, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 14:52:13.873256, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 14:52:40.703236, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:08:11.514064, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:11:58.266655, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:14:28.261942, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:15:18.189877, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:16:30.892653, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:17:26.188638, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:18:44.006219, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:21:23.303162, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:21:42.780872, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:22:47.693381, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:24:15.953161, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:28:17.44215, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:29:26.40283, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:29:47.699102, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:30:18.623691, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:30:27.428629, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:31:23.540565, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:48:43.903876, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:49:52.09128, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:51:26.093847, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 15:53:58.807039, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:00:53.782083, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:02:39.975485, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:03:04.755811, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:05:21.384033, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:11:17.330397, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:12:22.826696, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:13:10.954098, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:13:32.103424, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:14:57.040746, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:15:51.515351, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:16:31.657876, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:29:55.151378, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:30:34.631043, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:33:10.993119, 109.118.79.195, Genoa, Liguria, IT
2025-02-03 16:52:03.24645, 109.118.79.195, Genoa, Liguria, IT
2025-02-04 10:08:52.53795, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:15:19.854681, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:16:07.163292, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:22:52.580839, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:24:20.725944, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:28:49.794763, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:32:06.673257, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:36:48.392195, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:40:05.769904, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:42:43.448732, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:48:20.22161, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:48:41.042978, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:51:55.288682, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:52:27.395697, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:55:38.182136, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 10:56:19.99964, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:07:16.042274, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:08:47.095044, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:10:02.245418, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:10:40.346976, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:11:13.119473, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:14:07.946138, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:15:52.455007, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:18:25.182436, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:24:09.166816, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:25:54.970646, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:27:23.250211, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:29:33.342523, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:33:50.832901, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:34:44.77995, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:36:51.485692, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:38:32.114543, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:43:02.340322, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:43:50.365914, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:44:34.007675, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:46:00.841927, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:47:38.739804, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:48:42.845915, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:49:35.482221, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:50:26.686242, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:50:58.017514, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:53:32.564906, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:54:52.511119, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 11:55:55.794343, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 12:02:57.533281, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 12:04:58.688936, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 12:05:49.240891, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 12:06:38.050244, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 12:07:30.222154, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 12:08:44.258691, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 14:37:08.185242, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 14:38:34.837222, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 14:43:11.842256, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 14:45:03.653313, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 14:46:53.835061, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 14:47:33.979549, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 14:52:36.699096, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 14:53:26.436151, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 14:53:35.240438, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 14:55:58.856582, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 14:59:10.152037, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 15:01:38.570579, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 15:09:15.121854, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 15:28:26.657546, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 15:32:08.989376, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 15:33:51.998974, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 15:35:09.729544, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 15:37:09.576592, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 16:22:42.479611, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 16:26:58.538968, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 16:28:02.355855, 109.118.78.61, Genoa, Liguria, IT
2025-02-04 18:14:36.111852, 109.118.78.61, Turin, Piedmont, IT
2025-02-04 18:19:52.328468, 109.118.78.61, Turin, Piedmont, IT
2025-02-04 18:20:10.545165, 109.118.78.61, Turin, Piedmont, IT
2025-02-04 18:21:55.195163, 109.118.78.61, Turin, Piedmont, IT
2025-02-04 18:28:04.800276, 109.118.78.61, Turin, Piedmont, IT
2025-02-04 18:29:42.868409, 109.118.78.61, Turin, Piedmont, IT
2025-02-04 18:32:23.922444, 109.118.78.61, Turin, Piedmont, IT
2025-02-04 18:34:24.534171, 109.118.78.61, Turin, Piedmont, IT
2025-02-04 18:36:46.594153, 109.118.78.61, Turin, Piedmont, IT
2025-02-07 18:32:30.271284, 109.118.118.57, Bologna, Emilia-Romagna, IT
2025-02-08 10:40:03.558445, 109.118.117.193, Bologna, Emilia-Romagna, IT
2025-02-08 19:00:00.551334, 109.118.126.200, Bologna, Emilia-Romagna, IT
2025-02-08 19:37:15.003349, 109.118.126.200, Bologna, Emilia-Romagna, IT
2025-02-09 15:14:20.228404, 109.118.125.216, Bologna, Emilia-Romagna, IT
2025-02-10 10:22:18.595391, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 10:23:33.129246, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 10:30:22.245574, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 10:34:53.998661, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 10:37:21.798121, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 10:39:12.021382, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 10:43:02.358273, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 10:47:22.588301, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 10:49:32.888706, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 10:54:27.68827, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 10:57:56.749121, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
2025-02-10 11:00:11.72085, 109.118.115.165, Castelfranco Emilia, Emilia-Romagna, IT
